"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"2799","#Phoenix is covered in #Cathair !
Get the world's most itchy #cat #comic @Comikazie #Goodyear #Arizona… https://t.co/tTsP9V33wO",0,FALSE,TRUE,"806203429617971200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 18:27:30 +0000 2016",NA,NA,"en",312,FALSE,"Badcatlands","2674875506","Cathair Apocalypse: a tongue-in-cheek melodrama where humans are extinct and catsrule!
@lordcutemungus on IG",TRUE,"Wed Jul 23 19:18:05 +0000 2014",16052,1903,9364,FALSE,"http://cathairapocalypse.com","Cathair Apocalypse",NA,"en",NA,3312,"LordCutemungus","US","United States","city","Goodyear, AZ",NA,NA,33.4128725,-112.4249755,NA,NA,"https://www.instagram.com/p/BNr4_opA6RA/","https://t.co/tTsP9V33wO"
"2893","not much is worse than my cat and I being on different sleeping schedules",0,FALSE,FALSE,"806203532290441218",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:27:55 +0000 2016",NA,NA,"en",1,FALSE,"Nacogdoches, TX","601469388","Dallas • Nacogdoches | Kappa Alpha Belle | Die hard animal lover | 5.30.16",TRUE,"Wed Jun 06 23:47:39 +0000 2012",2375,377,3348,FALSE,NA,"Brittany Russell",NA,"en",NA,221,"BrittanyRussel2","US","United States","city","Nacogdoches, TX",NA,NA,31.6139415,-94.6493115,NA,NA,NA,NA
"2914","&lt;Mp3Boy-&gt; I told him grep pulls out the shit u want
&lt;Mp3Boy-&gt; like cat girl | grep pussy
&lt;Mp3Boy-&gt; then he understood",0,FALSE,FALSE,"806203561109573632",NA,"<a href=""http://www.zorrotron.com"" rel=""nofollow"">Zorrotron</a>",FALSE,"Tue Dec 06 18:28:02 +0000 2016",NA,NA,"en",50,FALSE,NA,"3196742670",NA,TRUE,"Sat May 16 00:34:28 +0000 2015",61162,174,0,FALSE,NA,"Bash Org",NA,"en",NA,0,"bubusher","US","United States","admin","California, USA",NA,NA,37.2691755,-119.3066075,37.69879758,-123.01209827,NA,NA
"2970","Me Aimee and kaitlin have come to conclusion we're adopting a cat next year <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB>",0,FALSE,FALSE,"806203632391749634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:28:19 +0000 2016",NA,NA,"en",0,FALSE,"828||704","314833515","every little thing is gonna be alright // Gardner Webb University // 12.10.14",TRUE,"Fri Jun 10 21:53:53 +0000 2011",14373,771,32995,FALSE,"http://vsco.co/madisontcreasman","madison creasman.","Pacific Time (US & Canada)","en",-28800,189,"maditcreasman","US","United States","city","Boiling Springs, NC",NA,NA,35.2547275,-81.653147,NA,NA,NA,NA
"2977","Me too!! https://t.co/2Zlzse5GSc",0,FALSE,FALSE,"806203640264491008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:28:21 +0000 2016",NA,NA,"en",49,FALSE,"Portland, OR","117321429","A Southern girl trying to make it out west.",TRUE,"Thu Feb 25 06:15:11 +0000 2010",36536,213,1303,FALSE,NA,"Mary Harding","Pacific Time (US & Canada)","en",-28800,330,"MEH957","US","United States","city","Portland, OR",NA,NA,45.536402,-122.630908,NA,NA,"https://www.change.org/en-GB/petitions/justin-trudeau-outlaw-cat-declawing-in-canada/","https://t.co/2Zlzse5GSc"
"2994","Group 4 : how to apply Cat muzzle https://t.co/K4J7EkPrzv",0,FALSE,FALSE,"806203656534130693",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 18:28:24 +0000 2016",NA,NA,"en",1,FALSE,NA,"748116516","We are Northwood FFA 
We are Tomorrows Leaders...Get out of the WAY!!!",TRUE,"Thu Aug 09 23:05:08 +0000 2012",234,102,592,FALSE,NA,"Northwood FFA","Eastern Time (US & Canada)","en",-18000,48,"NorthwoodFFA","US","United States","admin","North Carolina, USA",NA,NA,35.1704985,-79.861034,NA,NA,NA,NA
"3015","Get the world's most itchy #cat #comic @Comikazie #Goodyear #Arizona

https://t.co/mKNxJrQizD

#catlover #scifi… https://t.co/Rkq9zDNvNA",0,FALSE,TRUE,"806203675018301440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 18:28:29 +0000 2016",NA,NA,"en",312,FALSE,"Badcatlands","2674875506","Cathair Apocalypse: a tongue-in-cheek melodrama where humans are extinct and catsrule!
@lordcutemungus on IG",TRUE,"Wed Jul 23 19:18:05 +0000 2014",16053,1903,9364,FALSE,"http://cathairapocalypse.com","Cathair Apocalypse",NA,"en",NA,3312,"LordCutemungus","US","United States","city","Goodyear, AZ",NA,NA,33.4128725,-112.4249755,NA,NA,"http://www.elpuntavui.cat/societat/article/5-societat/1028686-pla-per-lluitar-contra-la-regressio-del-delta-de-l-ebre.html","https://t.co/mKNxJrQizD"
"3057","Guys, we're so looking forward to seeing this vintage cat ornament attached to one of your ugly… https://t.co/D3bLqTPMb5",0,FALSE,FALSE,"806203740839669760",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Tue Dec 06 18:28:45 +0000 2016",NA,NA,"en",32,FALSE,"Knoxville, TN","236496395","Transforming lives through the power of work! Proceeds from our 28 stores in 15 counties provide job training programs for those in East Tennessee!",TRUE,"Mon Jan 10 18:35:16 +0000 2011",4528,897,1169,FALSE,"http://www.gwiktn.org","Goodwill Knoxville","Eastern Time (US & Canada)","en",-18000,548,"GWIKTN","US","United States","city","Knoxville, TN",NA,NA,35.9824705,-83.9638415,35.93851999,-83.99038917,"http://ara.cat/_65577352?s=t","https://t.co/D3bLqTPMb5"
"3058","@Emclub7 so its pretty much a cat fight between sis in law and her and they decide to put it on social media? Jesus.",0,FALSE,FALSE,"806203741695344640","Emclub7","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Dec 06 18:28:45 +0000 2016","806203366330269700","365504640","en",34,FALSE,"Houston, TX","201814200","Houston Texans & Pakistan Cricket Fan.",TRUE,"Tue Oct 12 17:43:26 +0000 2010",66029,778,14943,FALSE,NA,"Adil Momin","Central Time (US & Canada)","en",-21600,333,"adilmomin786","US","United States","city","Houston, TX",NA,NA,29.838495,-95.4464865,NA,NA,NA,NA
"3062","Pero mi padre es hijo de católicos a ultranza y mi madre de caballeros de La Lúz, su abuela Piña era media-UNIDAD y espiritista.",0,FALSE,FALSE,"806203756975099904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:28:48 +0000 2016",NA,NA,"es",127,FALSE,"Georgia, USA","3219507481","Everything that possesses life dies if it has to live in uncongenial surroundings. Muhammad Iqbal",TRUE,"Mon May 18 14:32:18 +0000 2015",25844,326,8147,FALSE,NA,"Carla Inés","Pacific Time (US & Canada)","en",-28800,1541,"CarlaInesPerez","US","United States","city","Winston-Salem, NC",NA,NA,36.0871685,-80.244984,NA,NA,NA,NA
"3263","She's having a fit of the screen shots I sent her <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
Cat got her tongue after that. Lmao",0,FALSE,FALSE,"806204009736376321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:29:49 +0000 2016",NA,NA,"en",3,FALSE,"Tucson, AZ","2435706570",NA,TRUE,"Wed Apr 09 16:48:08 +0000 2014",3875,165,1379,FALSE,NA,"Irene Valenzuela","Arizona","en",-25200,154,"sweetlove1128","US","United States","city","Casas Adobes, AZ",NA,NA,32.342708,-111.032309,NA,NA,NA,NA
"3274","Pero mi padre es hijo de católicos a ultranza y mi madre de caballeros de La Luz, su abuela Pina era media-UNIDAD y espiritista.",0,FALSE,FALSE,"806204023518937088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:29:52 +0000 2016",NA,NA,"es",127,FALSE,"Georgia, USA","3219507481","Everything that possesses life dies if it has to live in uncongenial surroundings. Muhammad Iqbal",TRUE,"Mon May 18 14:32:18 +0000 2015",25844,326,8147,FALSE,NA,"Carla Inés","Pacific Time (US & Canada)","en",-28800,1541,"CarlaInesPerez","US","United States","city","Winston-Salem, NC",NA,NA,36.0871685,-80.244984,NA,NA,NA,NA
"3326","Big difference!!! https://t.co/tZSPhL7xlS",0,FALSE,FALSE,"806204070688006145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:30:03 +0000 2016",NA,NA,"en",127,FALSE,"Georgia, USA","3219507481","Everything that possesses life dies if it has to live in uncongenial surroundings. Muhammad Iqbal",TRUE,"Mon May 18 14:32:18 +0000 2015",25843,326,8147,FALSE,NA,"Carla Inés","Pacific Time (US & Canada)","en",-28800,1541,"CarlaInesPerez","US","United States","city","Winston-Salem, NC",NA,NA,36.0871685,-80.244984,NA,NA,"http://petoftheday.com/talk/showthread.php?191626","https://t.co/tZSPhL7xlS"
"3338","My Boy #cat #CatsOfTwitter #tuxedocat   #kitty #gato #feline https://t.co/8A8AF5PQax",0,FALSE,FALSE,"806204076002254848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:30:04 +0000 2016",NA,NA,"en",18,FALSE,"New England","1554105888","Meteorologists and musicians are my Kryptonite. My cats rule me. Born in NYC. Raised in the Republic of California. Independent. I think for myself.",TRUE,"Fri Jun 28 22:06:38 +0000 2013",877,61,1550,FALSE,NA,"Jeanine Marie",NA,"en",NA,177,"catniptoy","US","United States","admin","Connecticut, USA",NA,NA,41.500753,-72.757385,NA,NA,NA,NA
"3531","Neighbor showed me her new kitten. It's  the hitchhiker that rode in my engine bay last night. <ed><U+00A0><U+00BD><ed><U+00B8><U+0086>",0,FALSE,FALSE,"806204245896740864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 18:30:45 +0000 2016",NA,NA,"en",189,FALSE,"st louis","2159907348","I get by with a little help from my friends.Prefer laughing to crying.Back up my words with constructive action.Making friends along the way.",TRUE,"Mon Oct 28 00:38:37 +0000 2013",55994,1449,58313,FALSE,NA,"Schmoo<ed><U+00A0><U+00BD><ed><U+00B3><U+008E>","America/Chicago","en",-21600,913,"smilon713","US","United States","city","Parkdale, MO",NA,NA,38.4779705,-90.5322165,NA,NA,NA,NA
"3757","choppa make a fuck ninja hit da cat daddy....",0,FALSE,FALSE,"806204487396458496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:31:43 +0000 2016",NA,NA,"en",2,FALSE,"lp..","3241471414","#1O515 <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>....",TRUE,"Fri May 08 03:34:57 +0000 2015",17382,886,3552,FALSE,"https://m.soundcloud.com/selfmadesnoop/snoop-4","sc;kkgliz<U+2728>",NA,"en",NA,443,"kvy5__","US","United States","city","Laplace, LA",NA,NA,30.068501,-90.4774805,NA,NA,NA,NA
"4009","@randallsans @ouch_thisMhz @sashaperlraver @That_MrsDavis @MurrellDan I feel like I understan my cat Spencer so much more lol",0,FALSE,FALSE,"806204767232020480","randallsans","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Dec 06 18:32:49 +0000 2016","806204382886903808","197667619","en",10,FALSE,"Pennsylvania, USA","1703617687","IBO, Harry Potter Enthusiast, All around nerd",TRUE,"Tue Aug 27 03:09:46 +0000 2013",5677,229,17577,FALSE,NA,"Delisha Russell",NA,"en",NA,494,"Delisha_Renee","US","United States","city","Philadelphia, PA",NA,NA,40.0048655,-75.117998,NA,NA,NA,NA
"4027","@KirstianaB hi xcuse me what kind of cat do u possess",0,FALSE,FALSE,"806204786471092224","KirstianaB","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:32:54 +0000 2016",NA,"3300444164","en",3,FALSE,"RIP to my Guevara grandparents","121308712","i serve sushi for money",TRUE,"Tue Mar 09 03:10:53 +0000 2010",55452,838,17824,FALSE,"http://justjayna.tumblr.com","J<ed><U+00A0><U+00BC><ed><U+00B9><U+0090>","Pacific Time (US & Canada)","en",-28800,565,"jaynurs","US","United States","city","San Francisco, CA",NA,NA,37.7706565,-122.4359785,NA,NA,NA,NA
"4034","Someone from SDSU's cat followed me on insta and I'm just trying to figure out who's cat it is",0,FALSE,FALSE,"806204795803471872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:32:56 +0000 2016",NA,NA,"en",4,FALSE,NA,"451965226","work hard, brunch harder",TRUE,"Sun Jan 01 07:33:44 +0000 2012",7831,203,10915,FALSE,NA,"TJW","Pacific Time (US & Canada)","en",-28800,148,"tjwongg","US","United States","city","San Diego, CA",NA,NA,32.810012,-117.104989,NA,NA,NA,NA
"4036","""I don't watch the news anymore just kitten videos I highly recommend it"" - my neuro prof",0,FALSE,FALSE,"806204799116918784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:32:57 +0000 2016",NA,NA,"en",1,FALSE,"Reno, NV","2383067274",NA,TRUE,"Tue Mar 11 03:18:17 +0000 2014",1355,134,1878,FALSE,NA,"Christine Lewis",NA,"en",NA,158,"christinelewass","US","United States","city","Reno, NV",NA,NA,39.512436,-119.827182,NA,NA,NA,NA
"4527","He thinks he's people!!!! #Cats #Cat #CatAtTheTable #IgnorantCat #WistfulThinking #WanderlustCat… https://t.co/4MbJkLOqi2",0,FALSE,FALSE,"806205383396257792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Tue Dec 06 18:35:16 +0000 2016",NA,NA,"en",2,FALSE,"Columbus, OH ","354968445","Better in person | opinions are mine | #CollegeGamedayDrinkingGame | https://t.co/OzlAao1mNX will changes lives | Also on https://t.co/c2MC2QDPNp @thePUPlistblog",TRUE,"Sun Aug 14 16:15:41 +0000 2011",5537,301,822,FALSE,"http://adambross.wordpress.com/","Adam Bross","Eastern Time (US & Canada)","en",-18000,242,"AdamBross_","US","United States","city","Columbus, OH",NA,NA,39.9946835,-82.985772,39.99852056,-83.00941937,"https://twitter.com/i/web/status/806206370617753600","https://t.co/4MbJkLOqi2"
"4718","Still need to find someone to watch/adopt my cat, Scout! Please spread the word!! https://t.co/1iPNoDhfRX",0,FALSE,FALSE,"806205589344792576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:36:05 +0000 2016",NA,NA,"en",5,FALSE,"wherever the boba is ","68320716","| french fries and @preciouspetrus |",TRUE,"Mon Aug 24 03:56:26 +0000 2009",10437,323,22773,FALSE,NA,"Jacqueline Tran","Pacific Time (US & Canada)","en",-28800,313,"jackie_wackie44","US","United States","city","San Jose, CA",NA,NA,37.331159,-121.8737305,NA,NA,NA,NA
"4735","If this ain't me and Axton https://t.co/iOPX83thqL",0,FALSE,FALSE,"806205607841853441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:36:10 +0000 2016",NA,NA,"en",3,FALSE,NA,"1720613048","CHS '17<ed><U+00A0><U+00BC><ed><U+00BE><U+0093> • 1/30/16<U+2764><U+FE0F> • TXST '21<ed><U+00A0><U+00BD><ed><U+00B0><U+00BE>",TRUE,"Sun Sep 01 23:57:28 +0000 2013",12694,740,28419,FALSE,"http://Instagram.com/laceyyy__42","Lace <U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0081>","Central Time (US & Canada)","en",-21600,779,"creative_parker","US","United States","city","San Angelo, TX",NA,NA,31.4405225,-100.453089,NA,NA,"https://goo.gl/sBhx3N","https://t.co/iOPX83thqL"
"4788","@CandiiD @SandraSparets @EmrgencyKittens That cat looks like Oliver!",0,FALSE,FALSE,"806205670731223040","CandiiD","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Dec 06 18:36:25 +0000 2016","806161115164053504","19580005","en",12,FALSE,"That southern peninsula","2990802663","Library minion & MLIS student @fsulibit. Jersey Girl. Art is my life. Quirky Hipster Nerd. All opinions my own.",TRUE,"Wed Jan 21 23:28:03 +0000 2015",3208,124,578,FALSE,"https://www.behance.net/spiccino","Stephanie Piccino","Eastern Time (US & Canada)","en",-18000,104,"librarianstevie","US","United States","city","Palm City, FL",NA,NA,27.165487,-80.2918455,NA,NA,NA,NA
"4799","Bathroom cat says wash your hands! https://t.co/Vgb2B1hLdq",0,FALSE,FALSE,"806205677026836481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Dec 06 18:36:26 +0000 2016",NA,NA,"en",2,FALSE,"Ridgefield, CT","24586913",NA,TRUE,"Sun Mar 15 21:12:42 +0000 2009",927,98,493,FALSE,NA,"Jennifer Blackwell",NA,"en",NA,181,"jennybCT","US","United States","city","Ridgefield, CT",NA,NA,41.2935365,-73.4939225,NA,NA,NA,NA
